CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V2_02,V2_03,V21_01,V22_01,V3,V4,V5_02,V5_03,V6,V7,V8,V9,V10,V11_01,V11_02,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,V5_01,V21_02,V21_03,V22_02,V22_03,V2_01
TQRMNORRPHLMLRCDEHPJB00854456,2024,4,1,1,40,S,29,270,2,,3,1,,2,1,1,1,,1,1,1,1,1,2,2,3,2,2,0,1,2,2,2,0,2,0,4,,4,electricidad,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,0,12,12,12,12,,12,0,12,12,12,12,,12,0,1,0,2,0,0,0,2,2,2,1,2,2
TQRMNOPQXHLOLSCDEHPJB00854405,2024,4,1,1,40,S,29,341,1,,6,1,,2,1,1,1,,1,1,1,1,2,2,2,6,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,0,12,12,12,12,,12,0,12,12,12,12,,12,0,2,0,3,4,5,0,2,2,2,2,2,0
TQRMNORSSHLOLSCDEHPJB00854407,2024,4,1,1,40,S,29,323,2,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,2,2,0,2,0,6,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,5,0,5,0,12,12,12,12,,12,0,12,12,12,12,,12,0,2,3,4,0,0,0,1,2,2,2,2,0
TQRMNOSSXHLOLTCDEHPJB00854408,2024,4,1,1,40,S,29,626,1,,1,2,,4,2,1,1,,1,1,2,3,1,1,2,1,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,2,3,600000,3,3,3,3,,4,120000,1,1,1,1,,1,606,1,0,97,0,0,0,1,2,2,2,2,0
TQRMNOQQUHLKQLCDEIJAH00855253,2024,4,1,1,1,S,33,1577,2,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1050000,6,,5,6,,6,525000,7,,7,7,,7,2761,1,2,98,0,0,0,2,2,2,2,2,1
TQRMNORWXHMLKRCDEIJAH00812724,2024,4,1,1,1,S,33,2474,1,,4,1,,3,1,1,1,,1,1,1,1,2,2,2,4,2,1,1,1,1,1,2,0,2,0,1,,4,electricidad,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,0,2,0,12,,12,12,,12,0,12,,12,12,,12,0,1,2,96,0,0,0,2,2,2,2,2,1
TQRMNOQUVHLOKMCDEFIAH00856347,2024,4,1,1,43,S,2,857,1,,3,1,,3,1,1,1,,1,1,1,1,1,1,2,3,3,2,0,1,2,1,2,0,1,1,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,1000000,6,6,6,6,,6,250000,3,3,3,3,,3,1739,1,2,3,4,0,0,2,2,2,2,2,0
TQRMNOPSSHLMKOCDEFIAH00851511,2024,4,1,1,43,S,2,869,1,,2,1,,4,1,1,1,,1,1,1,2,2,2,2,2,2,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,1000000,6,6,6,6,,6,"333333,33",5,5,4,5,,4,970,2,0,98,0,0,0,2,2,2,2,2,0
TQRMNOQSVHKMLPCDEIMBF00867390,2024,4,1,1,43,N,36,190,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,1,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,900000,5,5,5,,5,6,900000,9,9,9,,9,9,429,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOQSSHKLKNCDEGIBJ00874374,2024,4,1,1,41,N,12,698,2,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,1,2,2,0,2,0,3,,2,,1,1,2,0,0,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,0,2,1520000,8,8,9,,8,9,760000,8,9,10,,9,10,696,1,2,98,0,0,0,2,2,2,2,2,0
